;osmid;y;x;street_cou;lon;lat;elevation;highway;geometry
2918;3102242807.0;5154064.310689773;318102.71171572927;3;6.6287318;46.5155615;433.3327026367188;;POINT (318102.71171572927 5154064.310689773)
2919;678462438.0;5153871.2986900285;318220.1954107781;3;6.6303375;46.5138577;421.3568420410156;;POINT (318220.1954107781 5153871.2986900285)
2920;678462402.0;5153892.831178296;318152.3636930202;3;6.6294456;46.514033;419.59576416015625;;POINT (318152.36369302025 5153892.831178296)
2921;611235458.0;5155918.292154487;320602.7429325003;3;6.6605792;46.5329033;652.5558471679688;;POINT (320602.7429325003 5155918.292154488)
2922;621160879.0;5155907.859918211;320595.641259045;3;6.6604907;46.5328076;651.4695434570312;;POINT (320595.641259045 5155907.859918211)
2923;5280471182.0;5153656.905967812;318505.9551393988;3;6.6341431;46.512007;423.83349609375;;POINT (318505.9551393988 5153656.905967812)
2924;611696874.0;5153626.498979602;318619.5776999028;3;6.6356348;46.5117642;423.06292724609375;;POINT (318619.5776999028 5153626.498979601)
2925;611696857.0;5153646.164038787;318596.096083781;3;6.6353213;46.5119347;423.5421752929688;;POINT (318596.096083781 5153646.164038786)
2926;611697154.0;5153607.950091495;318641.4421056849;3;6.6359268;46.5116033;422.7684631347656;;POINT (318641.44210568495 5153607.950091495)
2927;611697146.0;5153587.871116182;318665.0114313736;3;6.6362416;46.5114291;422.58837890625;;POINT (318665.0114313736 5153587.871116182)
2928;613123229.0;5153986.100875016;319604.49582401325;3;6.648323;46.5152623;470.53314208984375;;POINT (319604.49582401325 5153986.100875016)
2929;614664255.0;5153990.30636353;319169.4046595943;3;6.6426543;46.5151834;469.1116333007813;;POINT (319169.4046595943 5153990.30636353)
2930;614664213.0;5154027.200665269;319136.45687418035;3;6.6422108;46.5155063;474.58050537109375;;POINT (319136.45687418035 5154027.200665269)
2931;614834871.0;5154060.873855769;319320.8697870601;3;6.6445997;46.5158586;491.8096618652344;;POINT (319320.8697870601 5154060.873855769)
2932;614835173.0;5154197.389425306;319239.89509730355;3;6.6434919;46.5170644;499.8985900878906;;POINT (319239.89509730355 5154197.389425306)
2933;614835287.0;5154165.934361939;319283.63024771464;3;6.6440738;46.5167933;499.3737182617188;;POINT (319283.63024771464 5154165.934361939)
2934;614835289.0;5154163.1960270535;319287.44090949284;3;6.6441245;46.5167697;499.2914123535156;;POINT (319287.4409094928 5154163.1960270535)
2935;615820126.0;5154339.528233054;319399.7464551462;3;6.6455188;46.5183854;529.205322265625;;POINT (319399.7464551462 5154339.528233054)
2936;615589098.0;5154270.067103807;319445.188213989;3;6.6461377;46.517773;525.0159912109375;;POINT (319445.1882139891 5154270.067103807)
2937;615589159.0;5154446.492378173;319463.07891588233;3;6.6463022;46.5193642;548.6295166015625;;POINT (319463.07891588233 5154446.492378173)
2938;615589168.0;5154492.409728955;319418.394694677;3;6.6457023;46.5197651;547.9078979492188;;POINT (319418.394694677 5154492.409728955)
2939;616385301.0;5154443.864185418;319465.81029617967;3;6.6463388;46.5193413;548.6583251953125;;POINT (319465.81029617967 5154443.864185418)
2940;615589204.0;5154294.597370808;319509.8013452499;3;6.6469698;46.5180109;536.2683715820312;;POINT (319509.8013452499 5154294.597370808)
2941;615589208.0;5154304.035260599;319516.6466829563;3;6.6470553;46.5180976;537.8780517578125;;POINT (319516.6466829563 5154304.035260599)
2942;615819984.0;5154314.671380166;319323.38515828934;3;6.6445338;46.5181414;516.6421508789062;;POINT (319323.38515828934 5154314.671380166)
2943;615820026.0;5154324.4069921775;319329.5640831342;3;6.6446105;46.5182306;518.2764892578125;;POINT (319329.56408313423 5154324.4069921775)
2944;615943564.0;5154156.140715477;318888.6525302856;3;6.6389329;46.5165991;481.2820129394531;;POINT (318888.65253028553 5154156.140715477)
2945;615943566.0;5154172.239974256;318902.54651579476;3;6.6391076;46.5167476;482.2782287597656;;POINT (318902.5465157948 5154172.239974256)
2946;615943608.0;5154271.218944277;318866.83721767075;3;6.6386039;46.517628;481.7932434082031;;POINT (318866.83721767075 5154271.218944277)
2947;615948030.0;5154573.889279808;319324.2666569053;3;6.6444445;46.5204725;546.042724609375;;POINT (319324.26665690535 5154573.889279808)
2948;615948135.0;5154633.45331855;319493.1437465602;3;6.6466212;46.5210534;563.8582763671875;;POINT (319493.1437465602 5154633.45331855)
2949;616229269.0;5154950.520519199;319570.56537067983;3;6.6475066;46.5239252;570.0347290039062;;POINT (319570.56537067983 5154950.5205192)
2950;616385330.0;5154646.934693117;319501.2608576853;3;6.6467217;46.5211768;565.072021484375;;POINT (319501.26085768535 5154646.934693117)
2951;616664435.0;5154342.98513201;319838.7089828763;3;6.6512353;46.5185341;521.6318359375;;POINT (319838.7089828763 5154342.98513201)
2952;616664482.0;5154365.849118168;319863.403141694;3;6.6515481;46.5187463;520.9244995117188;;POINT (319863.40314169397 5154365.849118168)
2953;616680697.0;5156184.3309809705;320836.47977022897;3;6.663522;46.5353578;678.6619873046875;;POINT (320836.47977022897 5156184.3309809705)
2954;617026937.0;5154917.634772438;319513.89310266246;3;6.6467811;46.5236143;570.9610595703125;;POINT (319513.89310266246 5154917.634772439)
2955;617026843.0;5154920.799091136;319495.7945234673;3;6.6465441;46.5236379;571.7705078125;;POINT (319495.7945234673 5154920.799091136)
